id,host_id,price,number_of_reviews,last_review
2539,2787,149,9,2018-10-19
2595,2845,225,45,2019-05-21
3647,4632,150,0,
3831,4869,89,270,2019-07-05
5022,7192,80,9,2018-11-19
5099,7322,200,74,2019-06-22
5121,7356,60,49,2017-10-05
5178,8967,79,430,2019-06-24
5203,7490,79,118,2017-07-21
5238,7549,150,160,2019-06-09
5295,7702,135,53,2019-06-22
5441,7989,85,188,2019-06-23
5803,9744,89,167,2019-06-24
6021,11528,85,113,2019-07-05
6090,11975,120,27,2018-10-31
6848,15991,140,148,2019-06-29
7097,17571,215,198,2019-06-28
7322,18946,140,260,2019-07-01
7726,20950,99,53,2019-06-22
7750,17985,190,0,
7801,21207,299,9,2011-12-28
8024,22486,130,130,2019-07-01
8025,22486,80,39,2019-01-01
8110,22486,110,71,2019-07-02
8490,25183,120,88,2019-06-19
8505,25326,60,19,2019-06-23
8700,26394,80,0,
9357,30193,150,58,2017-08-13
9518,31374,44,108,2019-06-15
9657,21904,180,29,2019-04-19
9668,32294,50,242,2019-06-01
9704,32045,52,88,2019-06-14
9782,32169,55,197,2019-06-15
9783,32294,50,273,2019-07-01
10452,35935,70,74,2019-05-12
10962,9744,89,168,2019-06-21
11452,7355,35,0,
11708,44145,85,231,2019-06-22
11943,45445,150,0,
12048,7549,40,214,2019-07-05
12192,46978,68,245,2019-06-21
12299,47610,120,15,2019-05-27
12303,47618,120,25,2018-09-30
12318,16800,135,81,2019-06-16
12343,47727,150,97,2019-06-13
12627,49670,150,11,2019-06-05
12937,50124,130,248,2019-07-01
12940,50148,110,61,2019-05-25
13050,50846,115,11,2017-01-01
13394,52335,80,135,2019-06-17
13808,54275,80,112,2019-06-16
14287,56094,151,73,2019-07-07
14290,56104,228,82,2019-05-17
14314,56246,144,328,2019-06-29
14322,56284,200,19,2019-03-25
14377,56512,150,105,2019-06-22
14991,59023,110,19,2019-05-18
15220,59734,69,289,2019-06-09
15338,32169,49,138,2019-06-04
15341,60049,180,21,2019-06-29
15385,60252,80,42,2019-06-30
15396,60278,375,5,2018-11-03
15711,61491,250,66,2019-03-30
16326,63588,200,143,2019-01-26
